"Sample","Cluster"
"TCGA-AR-A5QP-01A",3
"TCGA-D8-A1X6-01A",5
"TCGA-C8-A1HI-01A",3
"TCGA-OL-A5S0-01A",2
"TCGA-BH-A0BZ-01A",4
"TCGA-BH-A1EO-01A",3
"TCGA-BH-A6R9-01A",4
"TCGA-AR-A24X-01A",3
"TCGA-C8-A1HK-01A",5
"TCGA-BH-A0AZ-01A",3
"TCGA-A2-A3XX-01A",2
"TCGA-A7-A6VV-01A",2
"TCGA-EW-A6SB-01A",2
"TCGA-E9-A1RD-01A",3
"TCGA-LL-A5YP-01A",2
"TCGA-A2-A25C-01A",1
"TCGA-E9-A6HE-01A",3
"TCGA-PE-A5DC-01A",1
"TCGA-AQ-A1H3-01A",3
"TCGA-E2-A1AZ-01A",2
"TCGA-D8-A1XV-01A",1
"TCGA-E9-A227-01A",3
"TCGA-A2-A0YH-01A",5
"TCGA-C8-A27A-01A",1
"TCGA-OL-A6VO-01A",2
"TCGA-OL-A6VQ-01A",3
"TCGA-D8-A1X9-01A",5
"TCGA-AN-A0XW-01A",3
"TCGA-AR-A5QQ-01A",4
"TCGA-BH-A1EV-01A",5
"TCGA-UL-AAZ6-01A",1
"TCGA-AC-A3W5-01A",5
"TCGA-A2-A0CR-01A",4
"TCGA-E9-A1RA-01A",4
"TCGA-AR-A252-01A",4
"TCGA-E2-A108-01A",4
"TCGA-AO-A0JG-01A",3
"TCGA-EW-A1P5-01A",1
"TCGA-EW-A1P4-01A",2
"TCGA-C8-A273-01A",1
"TCGA-B6-A0RL-01A",1
"TCGA-E9-A247-01A",1
"TCGA-BH-A0E1-01A",3
"TCGA-GM-A2DO-01A",4
"TCGA-HN-A2OB-01A",3
"TCGA-E9-A1RC-01A",5
"TCGA-A1-A0SO-01A",2
"TCGA-D8-A1XO-01A",3
"TCGA-D8-A27E-01A",4
"TCGA-C8-A278-01A",5
"TCGA-AC-A3QP-01A",3
"TCGA-A2-A1G1-01A",2
"TCGA-AC-A2BM-01A",1
"TCGA-AC-A6IW-01A",2
"TCGA-AR-A1AS-01A",3
"TCGA-D8-A1XW-01A",2
"TCGA-AR-A251-01A",2
"TCGA-E2-A1B1-01A",4
"TCGA-A7-A13E-01A",2
"TCGA-A2-A0YK-01A",3
"TCGA-BH-A6R8-01A",1
"TCGA-D8-A1XM-01A",5
"TCGA-W8-A86G-01A",3
"TCGA-AO-A03N-01B",1
"TCGA-AR-A1AP-01A",5
"TCGA-LD-A9QF-01A",4
"TCGA-AR-A1AK-01A",3
"TCGA-OL-A66J-01A",4
"TCGA-EW-A6S9-01A",1
"TCGA-AC-A5XU-01A",1
